[[PS4 1の収録曲]]

|CENTER:称号|CENTER:獲得条件|CENTER:備考|h
|「響け！太鼓の達人」大好き|楽曲「[[響け！太鼓の達人>難易度表/おに/響け！太鼓の達人]]」ミッションビンゴコンプリート||
|「響け！太鼓の達人 -Long Ver.-」大好き|楽曲「[[響け！太鼓の達人 -Long Ver.->難易度表/おに/響け！太鼓の達人(裏譜面)]]」ミッションビンゴコンプリート||
|「夜櫻ブレヰダアズ」大好き|楽曲「[[夜櫻ブレヰダアズ>難易度表/おに/夜櫻ブレヰダアズ]]」ミッションビンゴコンプリート||
|「≠MM」大好き|楽曲「[[≠MM>難易度表/おに/≠MM]]」ミッションビンゴコンプリート||
|「極楽浄土」大好き|楽曲「[[極楽浄土>難易度表/おに/極楽浄土]]」ミッションビンゴコンプリート||
|「セツナトリップ」大好き|楽曲「[[セツナトリップ>難易度表/おに/セツナトリップ]]」ミッションビンゴコンプリート||
|「夜明けまであと3秒」大好き|楽曲「[[夜明けまであと3秒>難易度表/おに/夜明けまであと3秒]]」ミッションビンゴコンプリート||
|「Blessed Bouquet Buskers」大好き|楽曲「[[Blessed Bouquet Buskers>難易度表/おに/Blessed Bouquet Buskers]]」ミッションビンゴコンプリート||
|「Xa」大好き|楽曲「[[Xa>難易度表/おに/Xa]]」ミッションビンゴコンプリート||
|「You&#84;ubeテーマソング」大好き|楽曲「[[YouTubeテーマソング>難易度表/おに/YouTubeテーマソング]]」ミッションビンゴコンプリート||
|「ガラスを割れ！」大好き|楽曲「[[ガラスを割れ！>難易度表/おに/ガラスを割れ！]]」ミッションビンゴコンプリート||
|「only my railgun」大好き|楽曲「[[only my railgun>難易度表/おに/only my railgun]]」ミッションビンゴコンプリート||
|「ラデツキー行進曲」大好き|楽曲「[[ラデツキー行進曲>難易度表/おに/ラデツキー行進曲]]」ミッションビンゴコンプリート||
|「New Stranger」大好き|楽曲「[[New Stranger>難易度表/おに/New Stranger]]」ミッションビンゴコンプリート||
|「ドラゴンセイバー 水没都市」大好き|楽曲「[[ドラゴンセイバー 水没都市>難易度表/おに/ドラゴンセイバー 水没都市]]」ミッションビンゴコンプリート||
|「OLGA BREEZE ［太陽シーン］」大好き|楽曲「[[OLGA BREEZE ［太陽シーン］>難易度表/おに/OLGA BREEZE ［太陽シーン］]]」ミッションビンゴコンプリート||
|「SHOGYO MUJO」大好き|楽曲「[[SHOGYO MUJO>難易度表/おに/SHOGYO MUJO]]」ミッションビンゴコンプリート||
|「MAGICAL SOUND SHOWER」大好き|楽曲「[[MAGICAL SOUND SHOWER>難易度表/おに/MAGICAL SOUND SHOWER]]」ミッションビンゴコンプリート||
|「Winding Road」大好き|楽曲「[[Winding Road>難易度表/おに/Winding Road]]」ミッションビンゴコンプリート||
|「初音ミクの激唱」大好き|楽曲「[[初音ミクの激唱>難易度表/おに/初音ミクの激唱]]」ミッションビンゴコンプリート||
|「FREEDOM DiVE↓」大好き|楽曲「[[FREEDOM DiVE↓>難易度表/おに/FREEDOM DiVE↓]]」ミッションビンゴコンプリート||
|「彼は誰時の誘惑」大好き|楽曲「[[彼は誰時の誘惑>難易度表/おに/彼は誰時の誘惑]]」ミッションビンゴコンプリート||
|「Day by Day!」大好き|楽曲「[[Day by Day!>難易度表/おに/Day by Day!]]」ミッションビンゴコンプリート||
|「どきどき☆どんちゃん騒ぎ」大好き|楽曲「[[どきどき☆どんちゃん騒ぎ>難易度表/おに/どきどき☆どんちゃん騒ぎ]]」ミッションビンゴコンプリート||
|「ハレ晴レユカイ」大好き|楽曲「[[ハレ晴レユカイ>難易度表/おに/ハレ晴レユカイ]]」ミッションビンゴコンプリート||
|「練習曲Op.10-4」大好き|楽曲「[[練習曲Op.10-4>難易度表/おに/練習曲Op.10-4]]」ミッションビンゴコンプリート||
|「ミュージック・リボルバー」大好き|楽曲「[[ミュージック・リボルバー>難易度表/おに/ミュージック・リボルバー]]」ミッションビンゴコンプリート||
|「241ディープラーニング」大好き|楽曲「[[241ディープラーニング>難易度表/おに/241ディープラーニング]]」ミッションビンゴコンプリート||
|「紫煌ノ乱」大好き|楽曲「[[紫煌ノ乱>難易度表/おに/紫煌ノ乱]]」ミッションビンゴコンプリート||
|「恋するフォーチュンクッキー」大好き|楽曲「[[恋するフォーチュンクッキー>難易度表/おに/恋するフォーチュンクッキー]]」ミッションビンゴコンプリート||
|「ミッション！ 健・康・第・イチ」大好き|楽曲「[[ミッション！ 健・康・第・イチ>難易度表/おに/ミッション！ 健・康・第・イチ]]」ミッションビンゴコンプリート||
|「君の知らない物語」大好き|楽曲「[[君の知らない物語>難易度表/おに/君の知らない物語]]」ミッションビンゴコンプリート||
